Johnathon Nicolaou,Dome: Rebellion,4.53,197,https://www.goodreads.com/author/show/22199652.Johnathon_Nicolaou
J.R. Ward,Lover Revealed,4.29,134778,https://www.goodreads.com/author/show/20248.J_R_Ward
Raine Miller,All In,4.10,54730,https://www.goodreads.com/author/show/4930653.Raine_Miller
Margaret Mitchell,Gone with the Wind,4.30,1189104,https://www.goodreads.com/author/show/11081.Margaret_Mitchell
Emily Snow,Devoured,3.93,36429,https://www.goodreads.com/author/show/6519108.Emily_Snow
R.L. Mathewson,Checkmate,4.13,48540,https://www.goodreads.com/author/show/4586597.R_L_Mathewson
Christina Lauren,Beautiful Stranger,4.14,91644,https://www.goodreads.com/author/show/6556689.Christina_Lauren
Sherrilyn Kenyon,Acheron,4.56,58944,https://www.goodreads.com/author/show/4430.Sherrilyn_Kenyon
Sarah J. Maas,Throne of Glass,4.19,1146647,https://www.goodreads.com/author/show/3433047.Sarah_J_Maas
Karina Halle,The Dex-Files,4.47,4277,https://www.goodreads.com/author/show/4785031.Karina_Halle
Katie Ashley,The Proposal,4.03,37461,https://www.goodreads.com/author/show/6546441.Katie_Ashley
Colleen Hoover,Losing Hope,4.20,187323,https://www.goodreads.com/author/show/5430144.Colleen_Hoover
Laini Taylor,Daughter of Smoke & Bone,3.99,362223,https://www.goodreads.com/author/show/324620.Laini_Taylor
Kristen Ashley,Rock Chick Revenge,4.47,34186,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
Cassandra Clare,City of Lost Souls,4.22,515580,https://www.goodreads.com/author/show/150038.Cassandra_Clare
J. Kenner,Release Me,4.11,79334,https://www.goodreads.com/author/show/6459302.J_Kenner
Joanna Wylde,Reaper's Property,4.07,58408,https://www.goodreads.com/author/show/223343.Joanna_Wylde
Kristen Ashley,Wild Man,4.18,43574,https://www.goodreads.com/author/show/2958084.Kristen_Ashley
J.M. Darhower,Sempre,4.14,27880,https://www.goodreads.com/author/show/5351355.J_M_Darhower
Rachel Caine,Glass Houses,3.91,99829,https://www.goodreads.com/author/show/15292.Rachel_Caine
Laura Thalassa,Pestilence,3.90,75684,https://www.goodreads.com/author/show/7152490.Laura_Thalassa
Olivia Cunning,Rock Hard,4.08,41196,https://www.goodreads.com/author/show/4062698.Olivia_Cunning
Kimberly Derting,The Body Finder,3.94,53063,https://www.goodreads.com/author/show/2755160.Kimberly_Derting
